ChngClass,IDR,IMP_AUD,IMP_BSESN,IMP_BZ,IMP_CL,IMP_CNY,IMP_EUR,IMP_FTSE,IMP_GBP,IMP_GC,IMP_HKD,IMP_HSI,IMP_IXIC,IMP_JPY,IMP_KC,IMP_KLSE,IMP_LB,IMP_N100,IMP_N225,IMP_NG,IMP_PL,IMP_SGD,IMP_SI,IMP_SS,IMP_THB,IMP_USD,MarketCap,Volume,Posts,Polarity
Positive,3403.0172752,0.3388860491,38645.18,73.81,65.39,1.621399206,0.214704197,7459.88,0.1861933615,1279.1,1.8965432739,29963.26,7998.06,27.062943458,94.2,1622.06,334.5,1085.97,22217.9,2.528,910.1,0.3279316492,14.98,3215.04,7.702252065,0.2417568137,1105,153576,22944,0.5574
Positive,3403.0172752,0.3388860491,38645.18,73.81,65.39,1.621399206,0.214704197,7459.88,0.1861933615,1279.1,1.8965432739,29963.26,7998.06,27.062943458,94.2,1622.06,334.5,1085.97,22217.9,2.528,910.1,0.3279316492,14.98,3215.04,7.702252065,0.2417568137,1105,153576,22944,0
Negative,3421.5490845,0.3420023851,38564.88,74.11,65.64,1.6300111631,0.2163438091,7501.49,0.1871260498,1270.4,1.9013186609,29963.24,8015.27,27.133831004,92.65,1627.44,320.7,1084.4,22259.74,2.522,890,0.3292031832,14.78,3198.59,7.7544487827,0.2423870002,988,1846373,23829,0
Negative,3421.5490845,0.3420023851,38564.88,74.11,65.64,1.6300111631,0.2163438091,7501.49,0.1871260498,1270.4,1.9013186609,29963.24,8015.27,27.133831004,92.65,1627.44,320.7,1084.4,22259.74,2.522,890,0.3292031832,14.78,3198.59,7.7544487827,0.2423870002,988,1846373,23829,0
Negative,3421.5490845,0.3420023851,38564.88,74.11,65.64,1.6300111631,0.2163438091,7501.49,0.1871260498,1270.4,1.9013186609,29963.24,8015.27,27.133831004,92.65,1627.44,320.7,1084.4,22259.74,2.522,890,0.3292031832,14.78,3198.59,7.7544487827,0.2423870002,988,1846373,23829,0.2577
Negative,3421.5490845,0.3420023851,38564.88,74.11,65.64,1.6300111631,0.2163438091,7501.49,0.1871260498,1270.4,1.9013186609,29963.24,8015.27,27.133831004,92.65,1627.44,320.7,1084.4,22259.74,2.522,890,0.3292031832,14.78,3198.59,7.7544487827,0.2423870002,988,1846373,23829,0.296
Negative,3421.5490845,0.3420023851,38564.88,74.11,65.64,1.6300111631,0.2163438091,7501.49,0.1871260498,1270.4,1.9013186609,29963.24,8015.27,27.133831004,92.65,1627.44,320.7,1084.4,22259.74,2.522,890,0.3292031832,14.78,3198.59,7.7544487827,0.2423870002,988,1846373,23829,-0.4767
Negative,3421.5490845,0.3420023851,38564.88,74.11,65.64,1.6300111631,0.2163438091,7501.49,0.1871260498,1270.4,1.9013186609,29963.24,8015.27,27.133831004,92.65,1627.44,320.7,1084.4,22259.74,2.522,890,0.3292031832,14.78,3198.59,7.7544487827,0.2423870002,988,1846373,23829,0.3182
Negative,3421.5490845,0.3420023851,38564.88,74.11,65.64,1.6300111631,0.2163438091,7501.49,0.1871260498,1270.4,1.9013186609,29963.24,8015.27,27.133831004,92.65,1627.44,320.7,1084.4,22259.74,2.522,890,0.3292031832,14.78,3198.59,7.7544487827,0.2423870002,988,1846373,23829,0
Negative,3421.5490845,0.3420023851,38564.88,74.11,65.64,1.6300111631,0.2163438091,7501.49,0.1871260498,1270.4,1.9013186609,29963.24,8015.27,27.133831004,92.65,1627.44,320.7,1084.4,22259.74,2.522,890,0.3292031832,14.78,3198.59,7.7544487827,0.2423870002,988,1846373,23829,0
Negative,3421.5490845,0.3420023851,38564.88,74.11,65.64,1.6300111631,0.2163438091,7501.49,0.1871260498,1270.4,1.9013186609,29963.24,8015.27,27.133831004,92.65,1627.44,320.7,1084.4,22259.74,2.522,890,0.3292031832,14.78,3198.59,7.7544487827,0.2423870002,988,1846373,23829,0
